,Suburb,Unnamed: 1,1996,2001,2006,2013,2018,2020
137,Trentham North,Upper Hutt,"2,590","2,750","2,860","3,010","3,190","3,360"
138,Trentham South,Upper Hutt,"1,050",790,"1,210","1,310","1,860","2,540"
139,Upper Hutt Central,Upper Hutt,430,390,420,530,640,690
140,Vivian East,Wellington,430,700,"1,630","2,300","2,550","2,740"
141,Vivian West,Wellington,"1,300","1,980","2,320","2,920","3,760","3,890"
142,Wadestown,Wellington,"3,450","3,480","3,700","3,670","3,870","3,910"
143,Wainuiomata Central,Lower Hutt,"1,710","1,700","1,690","1,720","1,860","1,920"
144,Wainuiomata West,Lower Hutt,"3,530","3,500","3,480","3,530","3,700","3,820"
145,Waitangirua,Porirua,"4,330","4,490","4,290","4,190","4,630","4,730"
146,Waiwhetu,Lower Hutt,"3,700","3,720","4,100","4,080","4,500","4,740"
147,Wallaceville,Upper Hutt,"2,250","2,210","2,310","2,310","2,470","2,540"
148,Waterloo East,Lower Hutt,"2,990","2,980","3,080","3,090","3,200","3,250"
149,Waterloo West,Lower Hutt,"2,200","2,240","2,230","2,200","2,370","2,440"
150,Wellington Botanic Gardens,Wellington,"1,100","1,060","1,160","1,150","1,210","1,200"
151,Wellington Central,Wellington,770,"1,170","2,120","2,990","3,270","3,320"
152,Wellington University,Wellington,"1,040","1,080","1,230","1,550","1,610","1,610"
153,Whitby,Porirua,"2,850","2,970","3,020","3,020","3,110","3,150"
154,Wilton,Wellington,"2,010","1,940","2,120","2,110","2,260","2,300"
155,Woburn,Lower Hutt,"1,800","1,790","1,790","1,740","1,830","1,850"
156,Woodridge,Wellington,350,720,"1,020","1,320","1,680","1,840"
