Mairangi Bay North,"2,670","2,560","2,830","2,850","3,070","3,150"
Mairangi Bay South,"2,440","2,430","2,710","2,780","2,880","2,910"
Mangere Bridge,"2,290","2,530","2,700","2,720","3,150","3,260"
Mangere Bridge Ambury,"3,250","3,310","3,420","3,480","3,610","3,630"
Mangere Central,"3,570","3,790","3,670","3,530","3,810","3,910"
Mangere East,"2,540","2,840","3,110","3,500","4,150","4,370"
Mangere Mascot,"3,440","3,500","3,630","3,560","3,900","3,970"
Mangere Mountain View,"2,810","3,210","3,140","3,570","3,930","4,160"
Mangere North,"1,900","2,020","2,100","2,180","2,480","2,990"
Mangere South,"1,170","1,480","3,280","3,530","3,770","3,840"
Mangere South East,"1,100","1,240","3,070","3,460","3,980","4,050"
Mangere West,"4,300","4,060","4,180","4,250","4,550","4,680"
Manukau Central,590,500,720,850,840,960
Manurewa Central,"2,540","2,680","2,870","3,370","3,910","4,050"
Manurewa East,"2,290","2,380","2,440","2,650","3,060","3,210"
Manurewa South,"2,920","2,980","3,310","3,670","4,160","4,480"
Massey Central,"2,420","2,830","3,030","3,170","3,560","3,720"
Massey East,"2,380","2,460","3,140","3,480","3,750","3,810"
Massey Road North,"2,320","2,460","2,730","2,810","3,380","3,540"
Massey Road South,"1,700","1,640","1,770","1,910","1,870","1,850"
Massey Road West,"2,870","3,250","3,480","3,760","3,980","4,060"
Massey Royal Road West,"2,100","2,530","2,790","3,000","3,180","3,250"
Massey South,"4,110","4,110","4,210","4,440","4,790","4,880"
Massey West,560,580,610,"1,180","1,520","1,740"
Maungawhau,"2,690","2,770","2,820","3,000","3,160","3,180"
McLaren Park,"3,730","4,020","4,110","4,280","4,590","4,740"
Meadowbank East,"2,140","2,160","2,420","2,610","2,690","2,700"
Meadowbank West,"2,350","2,420","2,540","2,690","2,830","2,890"
Mellons Bay,"3,510","3,530","3,730","3,880","4,160","4,220"
Middlemore,90,80,280,110,30,20
Milford Central,"1,930","1,960","2,050","2,000","2,010","1,970"
Milford West,"2,570","2,700","2,950","3,010","3,230","3,290"
Mission Bay,"3,970","4,160","4,350","4,400","4,500","4,600"
Mission Heights North,100,120,110,"3,300","3,640","3,720"
Mission Heights South,50,50,50,"2,030","3,030","3,420"
Morningside (Auckland),"3,250","3,380","3,820","4,010","4,190","4,230"
Mount Albert Central,"3,230","3,400","3,580","3,560","3,820","4,040"
Mount Albert North,"3,580","3,920","4,090","4,140","4,230","4,270"
Mount Albert South,"2,180","2,350","2,410","2,440","2,510","2,580"
Mount Albert West,"2,290","2,380","2,660","2,730","2,820","2,810"
Mount Eden East,"2,890","2,900","2,980","2,910","3,030","3,060"
Mount Eden North,"3,350","3,230","3,320","3,330","3,650","3,750"
Mount Eden North East,640,680,"1,380","1,090","1,170","1,300"
Mount Eden South,"3,270","3,630","3,900","4,030","4,130","4,100"
Mount Eden West,"3,140","3,250","3,340","3,410","3,420","3,490"
Mount Roskill Central North,"2,470","2,830","3,140","3,290","3,550","3,600"
Mount Roskill Central South,"2,190","2,380","2,420","2,650","2,570","2,570"
Mount Roskill North,"3,230","3,400","3,760","3,830","4,060","4,100"
Mount Roskill South,"2,540","2,650","2,830","3,020","3,320","3,380"
Mount Roskill White Swan,"3,500","3,930","4,170","4,380","4,870","4,990"
Mount St John,"3,010","3,290","3,310","3,970","3,750","3,670"
Mount Wellington Central,"3,710","3,880","4,220","4,520","5,130","5,420"
Mount Wellington East,"2,260","2,310","2,480","2,690","2,840","3,010"
Mount Wellington Ferndale,"3,340","3,410","3,660","3,870","4,440","4,560"
Mount Wellington Industrial,10,10,10,10,30,40
Mount Wellington North East,"1,470","1,640","1,860","2,140","2,170","2,160"
Mount Wellington North West,"1,400","2,060","2,180","3,050","3,270","3,180"
Mount Wellington South East,"2,890","2,910","2,930","2,830","3,010","3,130"
Mount Wellington South West,"1,840","1,980","2,230","2,280","2,560","2,700"
Mount Wellington West,"2,390","2,540","2,770","3,040","3,140","3,180"
Murrays Bay East,"2,120","2,080","2,160","2,240","2,230","2,260"
Murrays Bay West,"2,260","2,390","2,650","2,710","2,770","2,780"
Narrow Neck,"4,210","3,970","4,110","4,190","4,220","4,310"
New Lynn Central,100,160,240,160,600,610
New Lynn Central South,"1,380","2,380","2,880","3,010","2,980","3,020"
New Lynn North,"2,620","2,850","2,900","3,130","3,520","3,730"
New Lynn North West,"2,270","2,470","2,590","2,900","3,320","3,680"
New Lynn Seabrook,"2,240","2,290","2,540","2,770","3,050","3,130"
New Lynn South,"3,700","3,900","4,170","4,400","4,910","5,070"
Newmarket,"1,260","1,970","2,370","3,910","4,300","4,290"
New Windsor North,"2,740","2,850","3,160","3,220","3,460","3,530"
New Windsor South,"3,780","4,040","4,410","4,560","4,800","4,820"
Northcote Central,"2,310","2,480","2,570","2,530","2,510","2,610"
Northcote Point,"2,970","2,990","3,050","3,160","3,360","3,370"
Northcote South,"2,100","2,210","2,450","2,480","2,640","2,750"
Northcote Tuff Crater,"1,830","1,910","2,100","2,210","2,330","2,360"
Northcross,"2,850","3,050","3,290","3,370","3,450","3,470"
North Harbour,120,290,470,600,880,830
Northpark North,"2,300","2,920","3,030","3,060","3,070","3,080"
Northpark South,"1,750","2,190","2,290","2,240","2,290","2,280"
Onehunga Central,"2,720","3,000","3,180","3,390","3,420","3,510"
Onehunga North,"3,200","3,370","3,460","3,720","4,000","4,070"
Onehunga-Te Papapa Industrial,130,480,660,880,930,"1,110"
Onehunga West,"3,250","3,360","3,530","3,670","4,000","4,090"
One Tree Hill,"3,950","4,140","4,300","4,380","4,720","4,800"
Opaheke,"2,690","2,640","2,640","2,730","2,990","3,060"
Orakei East,"2,410","2,480","2,790","2,840","2,980","3,040"
Orakei West,"2,480","2,680","2,860","2,850","2,890","2,920"
Oranga,"2,780","2,830","2,990","3,130","3,360","3,380"
Ormiston East,120,140,160,270,970,"2,470"
Ormiston North,40,30,490,"1,720","2,340","2,520"
Ormiston South,50,40,60,"1,150","6,070","6,720"
Otahuhu Central,800,850,"1,080","1,180","1,470","1,840"
Otahuhu East,"1,720","1,750","2,020","2,220","2,450","2,620"
Otahuhu Industrial,100,70,60,30,90,110
Otahuhu North,"3,380","3,340","3,560","3,760","4,110","4,280"
Otahuhu South,"3,350","3,380","3,480","3,660","3,880","3,960"
Otahuhu South West,"3,510","3,570","3,670","3,540","4,110","4,190"
Otara Central,"2,630","2,560","2,800","2,710","2,890","2,920"
Otara East,"3,760","3,760","3,950","3,770","4,220","4,320"
Otara South,"3,550","3,570","3,810","3,500","3,980","4,170"
Otara West,"3,230","3,290","3,450","3,220","3,570","3,620"
Oteha East,580,"1,660","2,450","3,240","3,430","3,450"
Oteha West,30,220,760,"1,570","2,050","2,150"
Owairaka East,"1,830","1,910","1,970","2,080","2,170","2,170"
Owairaka West,"2,950","3,130","3,300","3,160","3,450","3,900"
Pahurehure,"3,010","3,070","3,130","3,210","3,410","3,470"
Pakuranga Central,"2,790","2,910","3,020","3,300","3,600","3,730"
Pakuranga Heights East,"2,660","2,700","2,970","3,150","3,300","3,320"
Pakuranga Heights North West,"2,400","2,620","2,710","2,840","2,960","3,000"
Pakuranga Heights South West,"2,990","3,120","3,330","3,340","3,620","3,770"
Pakuranga West,"3,390","3,630","3,900","4,350","4,610","4,760"
Panmure East,"2,490","2,510","2,880","3,190","3,650","3,780"
Panmure Glen Innes Industrial,140,150,270,260,360,370
Panmure West,130,160,230,210,260,270
Papakura Central,"2,560","2,490","2,560","2,790","3,370","3,540"
Papakura East,"1,010","1,110","1,930","2,600","3,430","3,480"
Papakura Industrial,150,170,210,200,220,330
Papakura Kelvin,"3,940","3,860","4,100","4,100","4,820","5,030"
Papakura Massey Park,"2,360","2,410","2,540","2,710","3,040","3,130"
Papakura North,"3,040","3,230","3,430","4,040","4,450","4,690"
Papakura North East,"1,650","1,680","1,980","2,100","2,660","3,210"
Papakura West,"1,450","1,450","1,560","1,730","1,870","1,880"
Papatoetoe Central,"3,310","3,540","4,060","4,580","5,450","5,790"
Papatoetoe East,"3,140","3,470","3,800","4,090","4,630","4,860"
Papatoetoe North,"3,100","3,640","3,890","4,350","5,120","5,470"
Papatoetoe South,"2,750","2,870","3,400","3,770","4,280","4,440"
Papatoetoe South West,"2,520","2,680","2,950","3,500","3,980","4,150"
Papatoetoe West,"3,370","3,550","4,090","4,530","5,050","5,380"
Parnell East,"3,350","3,200","3,410","3,650","3,550","3,510"
Parnell West,"2,600","3,110","3,440","3,830","4,410","4,490"
Penrose,630,640,740,680,930,910
Pinehill,900,"1,500","2,850","4,230","4,630","4,800"
Point Chevalier East,"4,020","4,160","4,330","4,640","4,760","4,820"
Point Chevalier West,"3,380","3,590","3,680","3,920","3,960","4,090"
Point England,"4,040","4,480","4,490","4,480","5,150","5,340"
Ponsonby East,"3,230","3,450","3,420","3,480","3,500","3,490"
Ponsonby West,"2,380","2,320","2,370","2,400","2,380","2,430"
Puhinui East,"1,830","1,930","2,150","2,480","2,850","2,970"
Puhinui North,"2,370","2,650","2,980","3,440","4,100","4,260"
Puhinui South,"1,770","1,840","2,020","2,400","2,670","2,780"
Quay Street-Customs Street,130,820,"1,170","2,400","2,480","2,490"
Queen Street,300,580,"1,160","1,760","2,440","2,480"
Queen Street South West,630,760,"1,280","1,570","1,770","1,970"
Randwick Park East,730,"1,220","2,270","2,400","2,690","2,770"
Randwick Park West,"2,860","3,350","3,620","3,710","3,870","3,940"
Ranui Domain,"1,990","2,430","3,370","3,460","3,730","3,790"
Ranui North,"3,720","3,880","3,940","4,080","4,280","4,380"
Ranui South East,840,"1,220","1,850","2,110","3,110","3,230"
Ranui South West,930,"1,140","1,700","2,290","2,780","2,940"
Redcastle,10,10,"2,640","2,670","2,620","2,620"
Red Hill,"2,600","2,460","2,690","2,620","2,960","2,990"
Remuera Abbotts Park,"3,370","3,450","3,640","3,900","3,970","3,990"
Remuera East,"2,640","2,860","2,920","3,070","2,840","2,830"
Remuera North,"3,290","3,430","3,600","3,650","3,710","3,710"
Remuera South,"3,630","3,710","4,100","4,160","4,110","4,110"
Remuera Waiata,"2,680","2,750","2,840","2,950","2,910","2,890"
Remuera Waiatarua,"1,990","2,210","2,210","2,320","2,470","2,530"
Remuera Waitaramoa,"4,060","3,900","4,080","4,150","4,120","4,110"
Remuera West,"2,560","2,530","2,630","2,700","2,910","2,950"
Rongomai East,"2,050","2,250","2,260","2,250","2,420","2,430"
Rongomai West,"2,480","2,350","2,480","2,310","2,590","2,640"
Rosebank Peninsula,30,30,30,20,40,40
Rosehill,"3,280","3,260","3,440","3,470","4,280","4,350"
Rothesay Bay,"2,430","2,520","2,760","2,860","3,020","3,090"
Rowandale East,"2,960","3,140","3,420","3,560","4,040","4,270"
Rowandale West,"3,030","3,110","3,200","3,310","3,690","3,780"
Royal Heights North,"2,820","2,880","3,460","3,540","3,670","3,870"
Royal Heights South,"3,030","3,100","3,320","3,590","3,960","4,050"
Royal Oak East,"2,180","2,370","2,570","2,710","3,000","3,030"
Royal Oak West,"2,070","2,280","2,450","2,500","2,620","2,810"
Saint Heliers North,"3,520","3,560","3,810","3,890","4,080","4,160"
Saint Heliers South,"3,130","3,350","3,840","4,110","4,210","4,270"
Saint Heliers West,"3,240","3,210","3,440","3,570","3,630","3,640"
Saint Johns East,"2,600","2,450","2,670","2,710","3,010","3,170"
Saint Johns West,"2,700","2,940","2,970","3,040","3,190","3,200"
Saint Marys Bay,"2,430","2,240","2,260","2,380","2,310","2,270"
Sandringham Central,"1,950","2,080","2,210","2,340","2,550","2,650"
Sandringham East,"3,120","3,360","3,470","3,450","3,640","3,670"
Sandringham North,"3,360","3,450","3,760","3,830","4,150","4,210"
Sandringham West,"2,030","2,100","2,160","2,260","2,450","2,490"
Schnapper Rock,240,250,"1,510","3,960","4,240","4,260"
Shelly Park,"2,650","2,790","2,890","2,950","2,960","2,970"
Shortland Street,290,650,900,"1,820","1,730","1,970"
Somerville,"4,000","4,440","4,760","4,610","4,730","4,760"
Stanley Point,"2,290","2,300","2,250","2,180","2,090","2,040"
St Lukes,"1,010","1,060","1,750","2,390","2,560","2,570"
Stonefields East,10,20,20,600,"1,890","2,200"
Stonefields West,20,30,30,"1,570","2,050","2,150"
Summerland North,280,"1,190","2,370","2,520","2,690","2,730"
Summerland South,160,660,"2,400","3,280","3,370","3,370"
Sunnyhills East,"2,920","2,960","3,230","3,460","3,580","3,710"
Sunnyhills West-Pakuranga North,"3,010","3,070","3,430","3,560","3,620","3,640"
Sunnynook North,"2,170","2,430","2,790","2,840","3,050","3,080"
Sunnynook South,"2,160","2,280","2,530","2,600","2,820","2,920"
Sunnyvale East,"3,260","3,730","3,900","4,170","5,030","5,230"
Sunnyvale West-Parrs Park,"1,020","1,040","1,760","2,470","2,720","2,780"
Sutton Park,"3,580","3,500","3,790","3,720","4,040","4,150"
Swanson,"1,250","1,390","1,440","1,720","2,340","2,750"
Sylvia Park,50,50,100,140,140,140
Symonds Street East,400,670,"1,270","2,390","2,210","2,210"
Symonds Street North West,450,"1,270","2,280","2,810","3,240","3,590"
