Suburb,Population,latitude,longitude
Clendon Park East,"2,480",-37.02639061492421,174.8879373694048
Clendon Park North,"3,670",-37.02639061492421,174.8879373694048
Clendon Park West,"3,560",-37.02639061492421,174.8879373694048
Clover Park North,"5,040",-36.858670956464636,174.61340483820803
Clover Park South,"4,640",-36.858670956464636,174.61340483820803
Cockle Bay,"4,400",-36.898199999999974,174.95019000000002
Conifer Grove East,"2,370",-36.94639497527219,174.78240005429015
Conifer Grove West,"2,700",-36.94639497527219,174.78240005429015
Dannemora North,"2,640",-36.93018395947788,174.9186028470594
Dannemora South,"2,900",-36.93018395947788,174.9186028470594
Devonport,"3,410",-36.826273336999975,174.79864590600005
Dingwall,"3,750",-36.96330580608558,174.85908962911068
Donegal Park,"3,820",-36.97442637593741,174.9083940130345
Drury,"1,280",-37.112055693999935,174.96961914400003
Eastern Beach,"2,280",-36.868199999999945,174.90019000000007
East Tamaki,370,-36.941810749999945,174.89157165900008
East Tamaki Heights,"3,000",-36.94285563799997,174.92577764100008
Eden Park,"1,770",-36.87392999999997,174.74597000000006
Eden Terrace,"4,490",-36.86413508299995,174.75743271800002
Eden Valley,"2,360",-36.96750084635119,174.83853712187494
Ellerslie Central,"3,560",-36.896377420999954,174.81373710200012
Ellerslie East,"3,340",-36.896377420999954,174.81373710200012
Ellerslie South,"2,820",-36.896377420999954,174.81373710200012
Ellerslie West,170,-36.896377420999954,174.81373710200012
Epsom Central-North,"4,140",-36.89494801044171,174.93146167621035
Epsom Central-South,"4,110",-36.89494801044171,174.93146167621035
Epsom East,"2,410",-36.88250790895211,174.77002741204956
Epsom North,"3,610",-36.88250790895211,174.77002741204956
Epsom South,"2,310",-36.88250790895211,174.77002741204956
Fairview Heights,"4,440",-36.709319999999934,174.7099800000001
Farm Cove,"2,710",-36.88819999999998,174.88019000000008
Favona East,"4,130",-36.948566595626424,174.81038303781233
Favona North,"2,960",-36.948566595626424,174.81038303781233
Favona West,"3,540",-36.948566595626424,174.81038303781233
Ferguson,"4,720",-36.89733241223531,174.79877460792721
Forrest Hill East,"3,730",-36.76568396877179,174.74812074415198
Forrest Hill North,"2,660",-36.76568396877179,174.74812074415198
